timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,initiator_spi,responder_spi,next_payload,exchange_type,flags,message_id,next_payload2,domain_of_interpretation,protocol_id,spi_size,notify_message_type
3/24/2018 0:21,113.161.212.150,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,AN GIANG,LONG XUYEN,0,0,3e35c70729dfedef,64dd3aa6ef67c6ad,11,5,0,0,0,0,,0,14
3/24/2018 0:21,118.69.111.232,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,942c64924ce96b64,11,5,0,0,0,0,,0,14
3/24/2018 0:22,113.160.249.133,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,KHANH HOA,NHA TRANG,0,0,3e35c70729dfedef,6b6405d5e6a60136,11,5,0,0,0,0,,0,14
3/24/2018 0:22,14.233.27.6,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,THUA THIEN-HUE,HUE,0,0,3e35c70729dfedef,0b6d660f8fde2b8b,11,5,0,0,0,0,,0,14
3/24/2018 0:22,14.160.24.193,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,188cfb5c80f05a56,11,5,0,0,0,0,,0,14
3/24/2018 0:22,210.211.97.186,udp,500,mail.smedia.com.vn,isakmp-vulnerable,38731,VN,DA NANG,DA NANG,0,0,3e35c70729dfedef,b2c25f49ede314ca,11,5,0,0,0,0,,0,14
3/24/2018 0:22,103.19.166.169,udp,500,,isakmp-vulnerable,45896,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,6d2ee1435107db13,11,5,0,0,0,0,,0,14
3/24/2018 0:22,203.205.35.137,udp,500,static.cmcti.vn,isakmp-vulnerable,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,49b7cf1305d2d0ff,11,5,0,0,0,0,,0,14
3/24/2018 0:22,118.70.203.110,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,f8e3ccb8b1db129e,11,5,0,0,0,0,,0,14
3/24/2018 0:22,117.2.124.56,udp,500,localhost,isakmp-vulnerable,7552,VN,DA NANG,DA NANG,0,0,3e35c70729dfedef,ccffa3a41e3718e6,11,5,0,0,0,0,,0,14
3/24/2018 0:23,118.69.35.53,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,b3ada933ef461b5c,11,5,0,0,0,0,,0,14
3/24/2018 0:23,123.18.32.11,udp,500,,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,13474dea6b634ada,11,5,0,0,0,0,,0,14
3/24/2018 0:23,118.69.124.124,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,62c3b1f8622fc92f,11,5,0,0,0,0,,0,14
3/24/2018 0:23,45.118.151.243,udp,500,hosted-by.vonline.vn,isakmp-vulnerable,131367,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,d6c3ec76e5f6386c,11,5,0,0,0,0,,0,14
3/24/2018 0:23,113.161.145.154,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,DONG NAI,BIEN HOA,0,0,3e35c70729dfedef,af5ded9fdcc1af36,11,5,0,0,0,0,,0,14
3/24/2018 0:23,113.164.8.114,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,06727b67c6632702,11,5,0,0,0,0,,0,14
3/24/2018 0:24,123.18.62.49,udp,500,,isakmp-vulnerable,45899,VN,HAI PHONG,HAI PHONG,0,0,3e35c70729dfedef,1e4beb6249e8923a,11,5,0,0,0,0,,0,14
3/24/2018 0:24,183.91.19.21,udp,500,static.cmcti.vn,isakmp-vulnerable,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,bc58975f9d488c07,11,5,0,0,0,0,,0,14
3/24/2018 0:24,115.79.207.218,udp,500,,isakmp-vulnerable,7552,VN,BEN TRE,BEN TRE,0,0,3e35c70729dfedef,814b90e4ae5fecea,11,5,0,0,0,0,,0,14
3/24/2018 0:24,125.234.96.202,udp,500,,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,d383f56635544d3a,11,5,0,0,0,0,,0,14
3/24/2018 0:24,118.70.203.105,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,8860711dfedfecc3,11,5,0,0,0,0,,0,14
3/24/2018 0:24,118.69.35.97,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,bd3689fc6824e5a2,11,5,0,0,0,0,,0,14
