timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,mdns_name,mdns_ipv4,mdns_ipv6,services,workstation_name,workstation_ipv4,workstation_ipv6,workstation_info,http_name,http_ipv4,http_ipv6,http_ptr,http_info,http_target,http_port
3/24/2018 8:01,210.211.126.33,udp,5353,,mdns,38731,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; _sftp-ssh._tcp.local.; ,antMiner.local.,210.211.126.33,,antMiner [90:70:65:b5:b9:4a]._workstation._tcp.local.,,,,,,,
3/24/2018 8:02,203.162.235.26,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,cache.local.,203.162.235.26,,cache [ac:16:2d:72:e1:30]._workstation._tcp.local.,,,,,,,
3/24/2018 8:02,210.211.97.17,udp,5353,,mdns,38731,VN,DA NANG,DA NANG,0,0,,,,_workstation._tcp.local.; ,linux.local.,210.211.97.17,fe80:0:0:0:862b:2bff:fe52:5a22,linux [84:2b:2b:52:5a:22]._workstation._tcp.local.,,,,,,,
3/24/2018 8:02,112.197.76.175,udp,5353,,mdns,45543,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_ssh._tcp.local.; _smb._tcp.local.; _http._tcp.local.; ,,,,,,,,,,,
3/24/2018 8:03,118.69.118.54,udp,5353,,mdns,18403,VN,HA NOI,HANOI,518111,737401,,,,_workstation._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.; ,NAS-SRV.local.,10.254.25.10,fe80:0:0:0:2ab:cdff:feef:171,NAS-SRV [00:ab:cd:ef:01:71]._workstation._tcp.local.,,,,,,,
3/24/2018 8:03,124.158.13.99,udp,5353,,mdns,38733,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _sftp-ssh._tcp.local.; ,myhost.local.,124.158.13.99,,myhost [00:0c:29:24:a0:31]._workstation._tcp.local.,,,,,,,
3/24/2018 8:03,116.109.116.47,udp,5353,,mdns,24086,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _udisks-ssh._tcp.local.; ,raspberrypi.local.,192.168.1.8,fe80:0:0:0:8faf:26e9:6222:a25d,raspberrypi [b8:27:eb:d9:7c:af]._workstation._tcp.local.,,,,,,,
3/24/2018 8:03,123.30.51.30,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,linux.local.,123.30.51.30 123.30.51.31 123.30.51.35,fe80:0:0:0:225:90ff:fe56:f54c,linux [00:25:90:56:f5:4c]._workstation._tcp.local.,,,,,,,
3/24/2018 8:03,118.69.75.84,udp,5353,,mdns,18403,VN,HA NOI,HANOI,518111,737401,,,,_workstation._tcp.local.; _rfb._tcp.local.; ,localhost.local.,10.170.10.78,,localhost [34:40:b5:ac:39:42]._workstation._tcp.local.,,,,,,,
3/24/2018 8:03,42.116.212.199,udp,5353,,mdns,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_spotify-connect._tcp.local.; ,,,,,,,,,,,
3/24/2018 8:03,27.118.31.29,udp,5353,,mdns,55313,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; _sftp-ssh._tcp.local.; ,antMiner7.local.,27.118.31.29,,antMiner7 [9c:1d:58:3f:4e:90]._workstation._tcp.local.,,,,,,,
3/24/2018 8:04,119.17.209.73,udp,5353,static.netnam.vn,mdns,24173,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,linux-2.local.,119.17.209.73,fe80:0:0:0:58c6:2ca:8996:b8a1,linux-2 [18:66:da:f4:91:70]._workstation._tcp.local.,,,,,,,
3/24/2018 8:04,115.74.208.67,udp,5353,adsl.viettel.vn,mdns,7552,VN,CA MAU,CA MAU,0,0,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.; ,,,,,,,,,,,
3/24/2018 8:04,125.212.209.65,udp,5353,,mdns,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,viettelopenvpn.local.,125.212.209.65 125.212.209.69 125.212.209.85,,viettelopenvpn [34:e6:d7:b6:05:c1]._workstation._tcp.local.,,,,,,,
3/24/2018 8:04,171.229.207.231,udp,5353,,mdns,7552,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _adisk._tcp.local.; _sftp._tcp.local.; _ftp._tcp.local.; _http._tcp.local.; _dacp._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.; _smb._tcp.local.; ,NAS.local.,192.168.1.42,fe80:0:0:0:211:32ff:fe23:d863,NAS [00:11:32:23:d8:63]._workstation._tcp.local.,,,,,,,
3/24/2018 8:04,14.161.19.80,udp,5353,static.vdc.com.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; ,linux.local.,192.168.1.245,fe80:0:0:0:215:5dff:fe01:9000,linux [00:15:5d:01:90:00]._workstation._tcp.local.,,,,,,,
3/24/2018 8:04,123.30.71.91,udp,5353,static.vdc.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; _sftp-ssh._tcp.local.; ,Firewall2.local.,123.30.71.91,,Firewall2 [00:0d:60:ec:07:e7]._workstation._tcp.local.,,,,,,,
3/24/2018 8:04,42.112.168.156,udp,5353,,mdns,18403,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.; ,RackStation.local.,192.168.28.15,fe80:0:0:0:211:32ff:fe25:711e,RackStation [00:11:32:25:71:1e]._workstation._tcp.local.,,,,,,,
3/24/2018 8:04,112.213.83.170,udp,5353,mx83170.superdata.vn,mdns,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,tongdaiao1.local.,112.213.83.170,fe80:0:0:0:250:56ff:feb8:1a1a,tongdaiao1 [00:50:56:b8:1a:1a]._workstation._tcp.local.,,,,,,,
3/24/2018 8:04,210.211.124.100,udp,5353,,mdns,38731,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; _sftp-ssh._tcp.local.; ,antMiner.local.,210.211.124.100,,antMiner [b0:d5:cc:c4:2a:6a]._workstation._tcp.local.,,,,,,,
3/24/2018 8:05,103.68.82.169,udp,5353,,mdns,45538,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,sv.local.,103.68.82.169 103.68.82.168 103.68.82.167 103.68.82.166 103.68.82.165 103.68.82.164 103.68.82.163 10,,sv [00:50:56:8d:74:af]._workstation._tcp.local.,,,,,,,
3/24/2018 8:05,115.84.178.90,udp,5353,,mdns,38731,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _sftp-ssh._tcp.local.; ,thmvtel.local.,115.84.178.90,,thmvtel [00:21:5e:c8:3d:24]._workstation._tcp.local.,,,,,,,
3/24/2018 8:05,14.225.2.203,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,ubuntu36.local.,14.225.2.203,fe80:0:0:0:221:5eff:fe3f:3094,ubuntu36 [00:21:5e:3f:30:94]._workstation._tcp.local.,,,,,,,
3/24/2018 8:05,45.117.82.113,udp,5353,,mdns,131353,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,KH82113.local.,45.117.82.113,,KH82113 [00:16:3c:65:5a:95]._workstation._tcp.local.,,,,,,,
3/24/2018 8:05,116.193.77.66,udp,5353,,mdns,24085,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,,,,,,,,,,,
3/24/2018 8:06,210.86.231.157,udp,5353,ci231-157.netnam.vn,mdns,24173,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,hn1.local.,10.17.98.101,fe80:0:0:0:1e98:ecff:fe30:ef2f,hn1 [1c:98:ec:30:ef:2f]._workstation._tcp.local.,,,,,,,
3/24/2018 8:06,123.30.149.74,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,centos7-3.local.,123.30.149.74,fe80:0:0:0:250:56ff:fe91:fae,centos7-3 [00:50:56:91:0f:ae]._workstation._tcp.local.,,,,,,,
3/24/2018 8:06,14.243.69.219,udp,5353,static.vnpt.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; _webdavs._tcp.local.; _webdav._tcp.local.; _smb._tcp.local.; _sftp._tcp.local.; _http._tcp.local.; _ftp._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.; ,NAS-101NBL.local.,192.168.1.150,,NAS-101NBL [00:21:85:6f:8f:b9]._workstation._tcp.local.,,,,,,,
3/24/2018 8:06,203.162.76.211,udp,5353,ci76-211.netnam.vn,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,Centos7-01-5.local.,203.162.76.211,fe80:0:0:0:250:56ff:fea3:9d1,Centos7-01-5 [00:50:56:a3:09:d1]._workstation._tcp.local.,,,,,,,
3/24/2018 8:06,210.211.124.15,udp,5353,,mdns,38731,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; ,linux.local.,210.211.124.15,fe80:0:0:0:215:5dff:feaa:6912,linux [00:15:5d:aa:69:12]._workstation._tcp.local.,,,,,,,
3/24/2018 8:06,203.162.76.205,udp,5353,ci76-205.netnam.vn,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,Centos7-01.local.,203.162.76.205,fe80:0:0:0:20c:29ff:fea2:c3cf,Centos7-01 [00:0c:29:a2:c3:cf]._workstation._tcp.local.,,,,,,,
