timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,opcode,errorcode,error,errormessage,size
3/24/2018 0:12,113.168.24.149,udp,69,static.vnpt.vn,tftp,45899,VN,THUA THIEN-HUE,THON AN LAI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,113.173.105.68,udp,51532,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,113.165.54.82,udp,22022,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,14.161.192.170,udp,43345,static.vnpt.vn,tftp,45899,VN,CAN THO,CAN THO,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,14.226.252.82,udp,58045,static.vnpt.vn,tftp,45899,VN,BA RIA-VUNG TAU,VUNG TAU,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,14.173.184.213,udp,43087,static.vnpt.vn,tftp,45899,VN,CAN THO,CAN THO,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,123.24.141.106,udp,12616,,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,116.118.6.25,udp,69,,tftp,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,113.166.92.89,udp,47318,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,123.28.142.173,udp,69,localhost,tftp,45899,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,14.226.233.198,udp,41227,static.vnpt.vn,tftp,45899,VN,BA RIA-VUNG TAU,VUNG TAU,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,123.17.216.103,udp,50084,static.vnpt.vn,tftp,45899,VN,THANH HOA,THANH HOA,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,113.161.36.254,udp,58045,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,123.23.146.54,udp,34069,,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,14.187.231.9,udp,57859,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,113.167.162.55,udp,16674,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,116.96.204.58,udp,22390,,tftp,7552,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,14.164.196.53,udp,47941,static.vnpt.vn,tftp,45899,VN,CAN THO,CAN THO,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,116.96.193.79,udp,69,,tftp,7552,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,113.182.69.253,udp,51931,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,113.188.71.77,udp,44884,static.vnpt.vn,tftp,45899,VN,AN GIANG,LONG AN,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,14.170.238.36,udp,27942,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,113.170.234.139,udp,47009,static.vnpt.vn,tftp,45899,VN,AN GIANG,LONG XUYEN,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,14.186.116.129,udp,51056,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,222.254.20.104,udp,23949,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,113.173.249.255,udp,69,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,113.188.17.116,udp,57018,,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,203.162.180.217,udp,69,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,No such file,17
3/24/2018 0:12,14.161.48.251,udp,52221,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:13,113.167.177.250,udp,12617,static.vnpt.vn,tftp,45899,VN,LANG SON,LANG SON,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:13,14.226.233.233,udp,58468,static.vnpt.vn,tftp,45899,VN,BA RIA-VUNG TAU,VUNG TAU,0,0,5,0,Not defined,Get not supported,22
